source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:CC,GO:0070062,extracellular exosome,1.138563827497116e-27,True,"""A vesicle that is released into the extracellular region by fusion of the limiting endosomal membrane of a multivesicular body with the plasma membrane. Extracellular exosomes, also simply called exosomes, have a diameter of about 40-100 nm."" [GOC:BHF, GOC:mah, GOC:vesicles, PMID:15908444, PMID:17641064, PMID:19442504, PMID:19498381, PMID:22418571, PMID:24009894]",2111,194,78,22149,0.4020618556701031,0.03694931312174325,query_1,"['GO:0005615', 'GO:1903561']"
GO:CC,GO:1903561,extracellular vesicle,2.942982871088198e-27,True,"""Any vesicle that is part of the extracellular region."" [GO_REF:0000064, GOC:pm, GOC:TermGenie, PMID:24769233]",2141,194,78,22149,0.4020618556701031,0.03643157403082672,query_1,"['GO:0031982', 'GO:0065010']"
GO:CC,GO:0043230,extracellular organelle,3.036782234676313e-27,True,"""Organized structure of distinctive morphology and function, occurring outside the cell. Includes, for example, extracellular membrane vesicles (EMVs) and the cellulosomes of anaerobic bacteria and fungi."" [GOC:jl, PMID:9914479]",2142,194,78,22149,0.4020618556701031,0.036414565826330535,query_1,"['GO:0005576', 'GO:0043226']"
GO:CC,GO:0065010,extracellular membrane-bounded organelle,3.036782234676313e-27,True,"""Organized structure of distinctive morphology and function, bounded by a lipid bilayer membrane and occurring outside the cell."" [GOC:isa_complete]",2142,194,78,22149,0.4020618556701031,0.036414565826330535,query_1,"['GO:0043227', 'GO:0043230']"
GO:CC,GO:0005739,mitochondrion,1.853286171382569e-19,True,"""A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."" [GOC:giardia, ISBN:0198506732]",1844,194,63,22149,0.3247422680412371,0.034164859002169194,query_1,"['GO:0005737', 'GO:0043231']"
GO:BP,GO:0006119,oxidative phosphorylation,7.166398350095133e-19,True,"""The phosphorylation of ADP to ATP that accompanies the oxidation of a metabolite through the operation of the respiratory chain. Oxidation of compounds establishes a proton gradient across the membrane, providing the energy for ATP synthesis."" [ISBN:0198506732, ISBN:0471331309]",146,190,23,21026,0.12105263157894737,0.15753424657534246,query_1,['GO:0009060']
KEGG,KEGG:05208,Chemical carcinogenesis - reactive oxygen species,9.580890171553663e-19,True,Chemical carcinogenesis - reactive oxygen species,221,119,29,8484,0.24369747899159663,0.13122171945701358,query_1,['KEGG:00000']
GO:BP,GO:1902600,proton transmembrane transport,1.0136344388638292e-18,True,"""The directed movement of a proton across a membrane."" [GO_REF:0000069, GOC:pr, GOC:TermGenie]",190,190,25,21026,0.13157894736842105,0.13157894736842105,query_1,"['GO:0098655', 'GO:0098662']"
GO:CC,GO:0005615,extracellular space,2.5903872714722374e-18,True,"""That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid."" [ISBN:0198547684]",3315,194,83,22149,0.42783505154639173,0.02503770739064857,query_1,"['GO:0005576', 'GO:0110165']"
GO:CC,GO:0031982,vesicle,3.3015509863020223e-18,True,"""Any small, fluid-filled, spherical organelle enclosed by membrane."" [GOC:mah, GOC:pz, GOC:vesicles]",4033,194,92,22149,0.4742268041237113,0.02281180262831639,query_1,['GO:0043227']
GO:CC,GO:0005740,mitochondrial envelope,7.701205536917636e-18,True,"""The double lipid bilayer enclosing the mitochondrion and separating its contents from the cell cytoplasm; includes the intermembrane space."" [GOC:ai, GOC:pz]",840,194,42,22149,0.21649484536082475,0.05,query_1,"['GO:0005739', 'GO:0031967']"
GO:CC,GO:0098803,respiratory chain complex,1.1662462297928606e-17,True,"""Any protein complex that is part of a respiratory chain."" [GOC:dos]",102,194,19,22149,0.0979381443298969,0.18627450980392157,query_1,['GO:0032991']
GO:BP,GO:0045333,cellular respiration,2.7734074061670238e-17,True,"""The enzymatic release of energy from inorganic and organic compounds (especially carbohydrates and fats) which either requires oxygen (aerobic respiration) or does not (anaerobic respiration)."" [GOC:das, ISBN:0140513590, ISBN:0198506732]",242,190,26,21026,0.1368421052631579,0.10743801652892562,query_1,['GO:0015980']
KEGG,KEGG:00190,Oxidative phosphorylation,3.136390078648501e-17,True,Oxidative phosphorylation,134,119,23,8484,0.19327731092436976,0.17164179104477612,query_1,['KEGG:00000']
GO:BP,GO:0009060,aerobic respiration,5.803518686822503e-17,True,"""The enzymatic release of energy from inorganic and organic compounds (especially carbohydrates and fats) which requires oxygen as the terminal electron acceptor."" [GOC:das, GOC:jl, ISBN:0140513590]",199,190,24,21026,0.12631578947368421,0.12060301507537688,query_1,['GO:0045333']
GO:BP,GO:0042775,mitochondrial ATP synthesis coupled electron transport,6.675546704891388e-17,True,"""The transfer of electrons through a series of electron donors and acceptors, generating energy that is ultimately used for synthesis of ATP, as it occurs in the mitochondrial inner membrane or chloroplast thylakoid membrane."" [GOC:mtg_sensu, ISBN:0716731363]",99,190,19,21026,0.1,0.1919191919191919,query_1,['GO:0042773']
GO:BP,GO:0042773,ATP synthesis coupled electron transport,6.675546704891388e-17,True,"""The transfer of electrons through a series of electron donors and acceptors, generating energy that is ultimately used for synthesis of ATP."" [ISBN:0716731363]",99,190,19,21026,0.1,0.1919191919191919,query_1,"['GO:0006119', 'GO:0022904']"
GO:MF,GO:0015078,proton transmembrane transporter activity,1.3461591090074204e-16,True,"""Enables the transfer of a proton from one side of a membrane to the other."" [GOC:ai]",186,190,23,20246,0.12105263157894737,0.12365591397849462,query_1,"['GO:0008324', 'GO:0022890']"
GO:CC,GO:0005737,cytoplasm,1.956040576429966e-16,True,"""The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."" [ISBN:0198547684]",12527,194,167,22149,0.8608247422680413,0.013331204598068172,query_1,"['GO:0005622', 'GO:0110165']"
GO:BP,GO:0022904,respiratory electron transport chain,1.3332655823993446e-15,True,"""A process in which a series of electron carriers operate together to transfer electrons from donors such as NADH and FADH2 to any of several different terminal electron acceptors to generate a transmembrane electrochemical gradient."" [GOC:mtg_electron_transport, ISBN:0716720094]",115,190,19,21026,0.1,0.16521739130434782,query_1,"['GO:0022900', 'GO:0045333']"
GO:BP,GO:0006091,generation of precursor metabolites and energy,1.350283031603084e-15,True,"""The chemical reactions and pathways resulting in the formation of precursor metabolites, substances from which energy is derived, and any process involved in the liberation of energy from these substances."" [GOC:jl]",478,190,32,21026,0.16842105263157894,0.06694560669456066,query_1,['GO:0008152']
GO:CC,GO:0031966,mitochondrial membrane,2.373393973874435e-15,True,"""Either of the lipid bilayers that surround the mitochondrion and form the mitochondrial envelope."" [GOC:mah, NIF_Subcellular:sao1045389829]",790,194,38,22149,0.1958762886597938,0.04810126582278481,query_1,"['GO:0005740', 'GO:0031090']"
KEGG,KEGG:05415,Diabetic cardiomyopathy,2.6797269423021616e-15,True,Diabetic cardiomyopathy,202,119,25,8484,0.21008403361344538,0.12376237623762376,query_1,['KEGG:00000']
GO:CC,GO:0005743,mitochondrial inner membrane,7.166587573185315e-15,True,"""The inner, i.e. lumen-facing, lipid bilayer of the mitochondrial envelope. It is highly folded to form cristae."" [GOC:ai]",514,194,31,22149,0.15979381443298968,0.06031128404669261,query_1,"['GO:0019866', 'GO:0031966']"
GO:BP,GO:0022900,electron transport chain,8.024877458141375e-15,True,"""A process in which a series of electron carriers operate together to transfer electrons from donors to any of several different terminal electron acceptors."" [GOC:mtg_electron_transport]",126,190,19,21026,0.1,0.15079365079365079,query_1,['GO:0006091']
GO:BP,GO:0019646,aerobic electron transport chain,1.1085868994516881e-14,True,"""A process in which a series of electron carriers operate together to transfer electrons from donors such as NADH and FADH2 to oxygen to generate a transmembrane electrochemical gradient."" [GOC:ai, GOC:mtg_electron_transport]",91,190,17,21026,0.08947368421052632,0.18681318681318682,query_1,"['GO:0006119', 'GO:0009060', 'GO:0022904']"
KEGG,KEGG:05012,Parkinson disease,1.8611397184736065e-14,True,Parkinson disease,265,119,27,8484,0.226890756302521,0.1018867924528302,query_1,['KEGG:00000']
KEGG,KEGG:05020,Prion disease,3.2945947430800675e-14,True,Prion disease,271,119,27,8484,0.226890756302521,0.0996309963099631,query_1,['KEGG:00000']
KEGG,KEGG:04714,Thermogenesis,7.571932142132369e-14,True,Thermogenesis,232,119,25,8484,0.21008403361344538,0.10775862068965517,query_1,['KEGG:00000']
GO:CC,GO:0019866,organelle inner membrane,1.3528677094229628e-13,True,"""The inner, i.e. lumen-facing, lipid bilayer of an organelle envelope; usually highly selective to most ions and metabolites."" [GOC:mah]",571,194,31,22149,0.15979381443298968,0.0542907180385289,query_1,"['GO:0031090', 'GO:0031967']"
GO:CC,GO:0031967,organelle envelope,1.6186801256548268e-13,True,"""A double membrane structure enclosing an organelle, including two lipid bilayers and the region between them. In some cases, an organelle envelope may have more than two membranes."" [GOC:mah, GOC:pz]",1329,194,46,22149,0.23711340206185566,0.0346124905944319,query_1,"['GO:0043227', 'GO:0043229', 'GO:0110165']"
GO:BP,GO:0015980,energy derivation by oxidation of organic compounds,1.9569435943081577e-13,True,"""The chemical reactions and pathways by which a cell derives energy from organic compounds; results in the oxidation of the compounds from which energy is released."" [GOC:mah]",345,190,26,21026,0.1368421052631579,0.07536231884057971,query_1,['GO:0006091']
GO:CC,GO:0070161,anchoring junction,2.6378692900779293e-13,True,"""A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix."" [ISBN:0815332181]",912,194,38,22149,0.1958762886597938,0.041666666666666664,query_1,['GO:0030054']
GO:CC,GO:0005576,extracellular region,3.4506488729927803e-13,True,"""The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."" [GOC:go_curators]",4258,194,86,22149,0.44329896907216493,0.020197275716298733,query_1,['GO:0110165']
REAC,REAC:R-HSA-1428517,Aerobic respiration and respiratory electron transport,1.0058170192010386e-12,True,Aerobic respiration and respiratory electron transport,209,143,23,11004,0.16083916083916083,0.11004784688995216,query_1,['REAC:R-HSA-1430728']
GO:CC,GO:0016020,membrane,3.7486863887033925e-12,True,"""A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it."" [GOC:dos, GOC:mah, ISBN:0815316194]",9953,194,140,22149,0.7216494845360825,0.014066110720385813,query_1,['GO:0110165']
GO:MF,GO:0022853,active monoatomic ion transmembrane transporter activity,1.0974045717400049e-11,True,"""Enables the transfer of an ion from one side of a membrane to the other up the solute's concentration gradient. This is carried out by binding the solute and undergoing a series of conformational changes. Transport works equally well in either direction."" [GOC:mtg_transport, ISBN:0815340729]",118,190,16,20246,0.08421052631578947,0.13559322033898305,query_1,"['GO:0015075', 'GO:0015399']"
GO:MF,GO:0015399,primary active transmembrane transporter activity,1.465364600747333e-11,True,"""Enables the transfer of a solute from one side of a membrane to the other, up the solute's concentration gradient, by binding the solute and undergoing a series of conformational changes. Transport works equally well in either direction and is powered by a primary energy source. Primary energy sources known to be coupled to transport are chemical such as ATP hydrolysis, redox energy and photon energy."" [GOC:mtg_transport, PMID:31613498]",167,190,18,20246,0.09473684210526316,0.10778443113772455,query_1,['GO:0022804']
GO:BP,GO:0006811,monoatomic ion transport,1.8294556420302682e-11,True,"""The directed movement of a monoatomic ion into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Monatomic ions (also called simple ions) are ions consisting of exactly one atom."" [GOC:ai]",1282,190,44,21026,0.23157894736842105,0.0343213728549142,query_1,['GO:0006810']
KEGG,KEGG:05010,Alzheimer disease,2.2509825151444712e-11,True,Alzheimer disease,382,119,28,8484,0.23529411764705882,0.07329842931937172,query_1,['KEGG:00000']
KEGG,KEGG:04932,Non-alcoholic fatty liver disease,2.7016256859786006e-11,True,Non-alcoholic fatty liver disease,154,119,19,8484,0.15966386554621848,0.12337662337662338,query_1,['KEGG:00000']
GO:MF,GO:0022804,active transmembrane transporter activity,1.1115219552613183e-10,True,"""Enables the transfer of a specific substance or related group of substances from one side of a membrane to the other, up the solute's concentration gradient. The transporter binds the solute and undergoes a series of conformational changes. Transport works equally well in either direction."" [GOC:mtg_transport, ISBN:0815340729]",458,190,26,20246,0.1368421052631579,0.056768558951965066,query_1,['GO:0022857']
GO:MF,GO:0015075,monoatomic ion transmembrane transporter activity,1.3423223954379346e-10,True,"""Enables the transfer of an ion from one side of a membrane to the other."" [GOC:dgf, GOC:mtg_transport, ISBN:0815340729]",868,190,35,20246,0.18421052631578946,0.04032258064516129,query_1,['GO:0022857']
GO:CC,GO:1990351,transporter complex,2.399777391090618e-10,True,"""A protein complex facilitating transport of molecules (proteins, small molecules, nucleic acids) into, out of or within a cell, or between cells."" [GOC:bhm, PMID:15449578]",518,194,26,22149,0.13402061855670103,0.05019305019305019,query_1,['GO:0032991']
GO:CC,GO:0030055,cell-substrate junction,2.782694154534505e-10,True,"""A cell junction that forms a connection between a cell and the extracellular matrix."" [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",436,194,24,22149,0.12371134020618557,0.05504587155963303,query_1,['GO:0070161']
GO:BP,GO:0006123,"mitochondrial electron transport, cytochrome c to oxygen",2.985422628991708e-10,True,"""The transfer of electrons from cytochrome c to oxygen that occurs during oxidative phosphorylation, mediated by the multisubunit enzyme known as complex IV."" [ISBN:0716731363]",22,190,9,21026,0.04736842105263158,0.4090909090909091,query_1,"['GO:0019646', 'GO:0042775']"
GO:BP,GO:0034220,monoatomic ion transmembrane transport,3.2125234225177405e-10,True,"""A process in which a monoatomic ion is transported across a membrane. Monatomic ions (also called simple ions) are ions consisting of exactly one atom."" [GOC:mah]",1048,190,38,21026,0.2,0.03625954198473282,query_1,"['GO:0006811', 'GO:0055085']"
KEGG,KEGG:05016,Huntington disease,3.362815872783286e-10,True,Huntington disease,305,119,24,8484,0.20168067226890757,0.07868852459016394,query_1,['KEGG:00000']
REAC,REAC:R-HSA-611105,Respiratory electron transport,4.042458574482493e-10,True,Respiratory electron transport,112,143,16,11004,0.11188811188811189,0.14285714285714285,query_1,['REAC:R-HSA-1428517']
GO:CC,GO:1902495,transmembrane transporter complex,4.810760516734772e-10,True,"""A transmembrane protein complex which enables the transfer of a substance from one side of a membrane to the other."" [GOC:bhm, GOC:TermGenie, PMID:18024586]",490,194,25,22149,0.12886597938144329,0.05102040816326531,query_1,"['GO:0098796', 'GO:1990351']"
GO:MF,GO:0022857,transmembrane transporter activity,5.157086494817585e-10,True,"""Enables the transfer of a substance, usually a specific substance or a group of related substances, from one side of a membrane to the other."" [GOC:jid, GOC:mtg_transport, ISBN:0815340729]",1235,190,41,20246,0.21578947368421053,0.03319838056680162,query_1,['GO:0005215']
GO:MF,GO:0005215,transporter activity,5.228681655651621e-10,True,"""Enables the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, accross or in between cells."" [GOC:ai, GOC:dgf]",1351,190,43,20246,0.22631578947368422,0.03182827535159141,query_1,['GO:0003674']
GO:MF,GO:0015453,oxidoreduction-driven active transmembrane transporter activity,5.914251013001617e-10,True,"""Primary active transport of a solute across a membrane, driven by exothermic flow of electrons from a reduced substrate to an oxidized substrate. Primary active transport is catalysis of the transport of a solute across a membrane, up the solute's concentration gradient, by binding the solute and undergoing a series of conformational changes. Transport works equally well in either direction and is driven by a primary energy source."" [GOC:mtg_transport, ISBN:0815340729, TC:3.D.-.-.-]",66,190,12,20246,0.06315789473684211,0.18181818181818182,query_1,['GO:0015399']
KEGG,KEGG:05022,Pathways of neurodegeneration - multiple diseases,7.448227724475498e-10,True,Pathways of neurodegeneration - multiple diseases,474,119,29,8484,0.24369747899159663,0.06118143459915612,query_1,['KEGG:00000']
GO:CC,GO:1990204,oxidoreductase complex,1.1381871325745341e-09,True,"""Any protein complex that possesses oxidoreductase activity."" [GOC:bhm, PMID:18982432]",147,194,15,22149,0.07731958762886598,0.10204081632653061,query_1,['GO:1902494']
KEGG,KEGG:04260,Cardiac muscle contraction,1.1490272383027528e-09,True,Cardiac muscle contraction,87,119,14,8484,0.11764705882352941,0.16091954022988506,query_1,['KEGG:00000']
GO:CC,GO:0005925,focal adhesion,1.2794394296505175e-09,True,"""A cell-substrate junction that anchors the cell to the extracellular matrix and that forms a point of termination of actin filaments. In insects focal adhesion has also been referred to as hemi-adherens junction (HAJ)."" [GOC:aruk, GOC:bc, ISBN:0124325653, ISBN:0815316208, PMID:10419689, PMID:12191915, PMID:15246682, PMID:1643657, PMID:16805308, PMID:19197329, PMID:23033047, PMID:26923917, PMID:28796323, PMID:8314002]",426,194,23,22149,0.11855670103092783,0.0539906103286385,query_1,['GO:0030055']
GO:CC,GO:0070069,cytochrome complex,1.9786126512111017e-09,True,"""A protein complex in which at least one of the proteins is a cytochrome, i.e. a heme-containing protein involved in catalysis of redox reactions."" [GOC:mah]",32,194,9,22149,0.04639175257731959,0.28125,query_1,['GO:1902494']
GO:BP,GO:0006812,monoatomic cation transport,2.84864829459929e-09,True,"""The directed movement of a monoatomic cation, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Monatomic cations (also called simple cations) are positively charged ions consisting of exactly one atom."" [GOC:ai]",1069,190,37,21026,0.19473684210526315,0.03461178671655753,query_1,['GO:0006811']
GO:CC,GO:0031090,organelle membrane,4.097856384720523e-09,True,"""A membrane that is one of the two lipid bilayers of an organelle envelope or the outermost membrane of single membrane bound organelle."" [GOC:dos, GOC:mah]",3842,194,73,22149,0.37628865979381443,0.019000520562207183,query_1,"['GO:0016020', 'GO:0043227']"
GO:MF,GO:0015318,inorganic molecular entity transmembrane transporter activity,4.862807987925912e-09,True,"""Enables the transfer of an inorganic molecular entity from the outside of a cell to the inside of the cell across a membrane. An inorganic molecular entity is a molecular entity that contains no carbon."" [GOC:mtg_transport, ISBN:0815340729]",827,190,32,20246,0.16842105263157894,0.03869407496977025,query_1,['GO:0022857']
GO:BP,GO:0055085,transmembrane transport,5.8658704160565e-09,True,"""The process in which a solute is transported across a lipid bilayer, from one side of a membrane to the other."" [GOC:dph, GOC:jid]",1578,190,45,21026,0.23684210526315788,0.028517110266159697,query_1,"['GO:0006810', 'GO:0009987']"
GO:CC,GO:0098796,membrane protein complex,6.942513315850427e-09,True,"""Any protein complex that is part of a membrane."" [GOC:dos]",1393,194,40,22149,0.20618556701030927,0.028715003589375447,query_1,"['GO:0016020', 'GO:0032991']"
GO:MF,GO:0051015,actin filament binding,7.793133467124034e-09,True,"""Binding to an actin filament, also known as F-actin, a helical filamentous polymer of globular G-actin subunits."" [ISBN:0198506732]",209,190,17,20246,0.08947368421052632,0.08133971291866028,query_1,"['GO:0003779', 'GO:0044877']"
GO:BP,GO:0098660,inorganic ion transmembrane transport,8.97557271597595e-09,True,"""The process in which an inorganic ion is transported across a membrane."" [GOC:mah]",944,190,34,21026,0.17894736842105263,0.036016949152542374,query_1,['GO:0055085']
GO:MF,GO:0050839,cell adhesion molecule binding,1.2286082467687372e-08,True,"""Binding to a cell adhesion molecule."" [GOC:ai]",564,190,26,20246,0.1368421052631579,0.04609929078014184,query_1,['GO:0005515']
KEGG,KEGG:05014,Amyotrophic lateral sclerosis,1.3367414799954425e-08,True,Amyotrophic lateral sclerosis,363,119,24,8484,0.20168067226890757,0.06611570247933884,query_1,['KEGG:00000']
GO:MF,GO:0016491,oxidoreductase activity,1.40683580294277e-08,True,"""Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."" [EC:1.-.-.-]",759,190,30,20246,0.15789473684210525,0.039525691699604744,query_1,['GO:0003824']
GO:MF,GO:0003779,actin binding,1.764171618670529e-08,True,"""Binding to monomeric or multimeric forms of actin, including actin filaments."" [GOC:clt]",442,190,23,20246,0.12105263157894737,0.05203619909502263,query_1,['GO:0008092']
GO:BP,GO:0098655,monoatomic cation transmembrane transport,2.98965497509129e-08,True,"""The process in which a monoatomic cation is transported across a membrane. Monatomic cations (also called simple cations) are positively charged ions consisting of exactly one atom."" [GOC:dos, GOC:vw]",877,190,32,21026,0.16842105263157894,0.036488027366020526,query_1,"['GO:0006812', 'GO:0034220']"
GO:BP,GO:0009259,ribonucleotide metabolic process,5.311757268779713e-08,True,"""The chemical reactions and pathways involving a ribonucleotide, a compound consisting of ribonucleoside (a base linked to a ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar."" [GOC:go_curators, ISBN:0198506732]",372,190,21,21026,0.11052631578947368,0.056451612903225805,query_1,"['GO:0009117', 'GO:0019693']"
GO:MF,GO:0022890,inorganic cation transmembrane transporter activity,5.6913286592250605e-08,True,"""Enables the transfer of inorganic cations from one side of a membrane to the other. Inorganic cations are atoms or small molecules with a positive charge that do not contain carbon in covalent linkage."" [GOC:ai, GOC:mtg_transport, ISBN:0815340729]",702,190,28,20246,0.14736842105263157,0.039886039886039885,query_1,['GO:0015318']
GO:BP,GO:0098662,inorganic cation transmembrane transport,7.392640207360106e-08,True,"""A process in which an inorganic cation is transported from one side of a membrane to the other by means of some agent such as a transporter or pore."" [GOC:mah]",854,190,31,21026,0.1631578947368421,0.03629976580796253,query_1,['GO:0098660']
