organ,age_months,source,sample_id,n_cells,source_accession,preprocess_status,mapping_target
BAT,3,PanSci,BAT_03_months,10000,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Brown_Fat_CTRL1 (GSE248904)
BAT,3,TMS,BAT_3m,713,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Brown_Fat_CTRL1 (GSE248904)
BAT,6,PanSci,BAT_06_months,10000,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Brown_Fat_CTRL1 (GSE248904)
BAT,12,PanSci,BAT_12_months,10000,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Brown_Fat_CTRL1 (GSE248904)
BAT,16,PanSci,BAT_16_months,10000,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Brown_Fat_CTRL1 (GSE248904)
BAT,18,TMS,BAT_18m,662,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Brown_Fat_CTRL1 (GSE248904)
BAT,21,TMS,BAT_21m,794,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Brown_Fat_CTRL1 (GSE248904)
BAT,23,PanSci,BAT_23_months,10000,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Brown_Fat_CTRL1 (GSE248904)
BAT,24,TMS,BAT_24m,848,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Brown_Fat_CTRL1 (GSE248904)
BAT,30,TMS,BAT_30m,2015,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Brown_Fat_CTRL1 (GSE248904)
Bone_Marrow,1,TMS,Bone_Marrow_1m,3027,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Bone_Marrow_CTRL1 (GSE248904)
Bone_Marrow,3,TMS,Bone_Marrow_3m,3490,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Bone_Marrow_CTRL1 (GSE248904)
Bone_Marrow,18,TMS,Bone_Marrow_18m,6712,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Bone_Marrow_CTRL1 (GSE248904)
Bone_Marrow,21,TMS,Bone_Marrow_21m,5216,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Bone_Marrow_CTRL1 (GSE248904)
Bone_Marrow,24,TMS,Bone_Marrow_24m,8279,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Bone_Marrow_CTRL1 (GSE248904)
Bone_Marrow,30,TMS,Bone_Marrow_30m,10000,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Bone_Marrow_CTRL1 (GSE248904)
Brain,3,EasySci,Brain_03_months,8875,GSE212606,Main_cell_type + Sub_cluster from source,Brain_CTRL1 (GSE248904)
Brain,3,PanSci,Brain_3m,4405,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Brain_CTRL1 (GSE248904)
Brain,3,TMS,Brain_3m,4643,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Brain_CTRL1 (GSE248904)
Brain,6,EasySci,Brain_06_months,8892,GSE212606,Main_cell_type + Sub_cluster from source,Brain_CTRL1 (GSE248904)
Brain,6,Hammond_microglia,Brain_6m,2528,GSE179358,cellType=microglial cell (single-cell-type focus),Brain_CTRL1 (GSE248904)
Brain,6,PanSci,Brain_6m,4478,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Brain_CTRL1 (GSE248904)
Brain,12,Hammond_microglia,Brain_12m,2197,GSE179358,cellType=microglial cell (single-cell-type focus),Brain_CTRL1 (GSE248904)
Brain,12,MCA2,Brain_12m,4242,GSE153562,leiden clusters with marker-based manual annotation,Brain_CTRL1 (GSE248904)
Brain,18,Hammond_microglia,Brain_18m,2614,GSE179358,cellType=microglial cell (single-cell-type focus),Brain_CTRL1 (GSE248904)
Brain,18,TMS,Brain_18m,4022,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Brain_CTRL1 (GSE248904)
Brain,21,EasySci,Brain_21_months,8873,GSE212606,Main_cell_type + Sub_cluster from source,Brain_CTRL1 (GSE248904)
Brain,21,TMS,Brain_21m,11824,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Brain_CTRL1 (GSE248904)
Brain,24,Hammond_microglia,Brain_24m,2659,GSE179358,cellType=microglial cell (single-cell-type focus),Brain_CTRL1 (GSE248904)
Brain,24,TMS,Brain_24m,2677,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Brain_CTRL1 (GSE248904)
Colon,3,PanSci,Colon_03_months,10000,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Colon_CTRL1 (GSE248904)
Colon,3,TMS,Colon_3m,3987,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Colon_CTRL1 (GSE248904)
Colon,6,PanSci,Colon_06_months,10000,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Colon_CTRL1 (GSE248904)
Colon,12,PanSci,Colon_12_months,10000,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Colon_CTRL1 (GSE248904)
Colon,16,PanSci,Colon_16_months,10000,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Colon_CTRL1 (GSE248904)
Colon,18,TMS,Colon_18m,2369,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Colon_CTRL1 (GSE248904)
Colon,21,MCA2,Colon_21m,10000,GSE153562,leiden clusters with marker-based manual annotation,Colon_CTRL1 (GSE248904)
Colon,23,PanSci,Colon_23_months,10000,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Colon_CTRL1 (GSE248904)
Colon,24,TMS,Colon_24m,1955,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Colon_CTRL1 (GSE248904)
Colon,30,TMS,Colon_30m,1887,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Colon_CTRL1 (GSE248904)
Heart,1,TMS,Heart_1m,946,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Heart_CTRL1 (GSE248904)
Heart,3,PanSci,Heart_03_months,10000,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Heart_CTRL1 (GSE248904)
Heart,3,TMS,Heart_3m,534,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Heart_CTRL1 (GSE248904)
Heart,6,PanSci,Heart_06_months,10000,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Heart_CTRL1 (GSE248904)
Heart,12,PanSci,Heart_12_months,10000,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Heart_CTRL1 (GSE248904)
Heart,16,PanSci,Heart_16_months,10000,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Heart_CTRL1 (GSE248904)
Heart,18,TMS,Heart_18m,1143,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Heart_CTRL1 (GSE248904)
Heart,21,TMS,Heart_21m,918,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Heart_CTRL1 (GSE248904)
Heart,23,PanSci,Heart_23_months,10000,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Heart_CTRL1 (GSE248904)
Heart,24,TMS,Heart_24m,768,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Heart_CTRL1 (GSE248904)
Heart,30,TMS,Heart_30m,4304,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Heart_CTRL1 (GSE248904)
Ileum,3,PanSci,Ileum_03_months,9994,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Small_Intestine_CTRL1 (GSE248904)
Ileum,6,PanSci,Ileum_06_months,9994,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Small_Intestine_CTRL1 (GSE248904)
Ileum,12,MCA2,Ileum_12m,9981,GSE153562,leiden clusters with marker-based manual annotation,Small_Intestine_CTRL1 (GSE248904)
Ileum,12,PanSci,Ileum_12_months,9996,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Small_Intestine_CTRL1 (GSE248904)
Ileum,16,PanSci,Ileum_16_months,9995,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Small_Intestine_CTRL1 (GSE248904)
Ileum,18,MCA2,Ileum_18m,9983,GSE153562,leiden clusters with marker-based manual annotation,Small_Intestine_CTRL1 (GSE248904)
Ileum,21,MCA2,Ileum_21m,9985,GSE153562,leiden clusters with marker-based manual annotation,Small_Intestine_CTRL1 (GSE248904)
Ileum,23,PanSci,Ileum_23_months,9998,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Small_Intestine_CTRL1 (GSE248904)
Ileum,24,MCA2,Ileum_24m,9986,GSE153562,leiden clusters with marker-based manual annotation,Small_Intestine_CTRL1 (GSE248904)
Kidney,1,TMS,Kidney_1m,2422,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Kidney_CTRL1 (GSE248904)
Kidney,3,PanSci,Kidney_03_months,9802,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Kidney_CTRL1 (GSE248904)
Kidney,3,TMS,Kidney_3m,2254,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Kidney_CTRL1 (GSE248904)
Kidney,6,PanSci,Kidney_06_months,9773,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Kidney_CTRL1 (GSE248904)
Kidney,12,PanSci,Kidney_12_months,9795,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Kidney_CTRL1 (GSE248904)
Kidney,16,PanSci,Kidney_16_months,9800,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Kidney_CTRL1 (GSE248904)
Kidney,18,TMS,Kidney_18m,3040,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Kidney_CTRL1 (GSE248904)
Kidney,21,TMS,Kidney_21m,2204,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Kidney_CTRL1 (GSE248904)
Kidney,23,PanSci,Kidney_23_months,9795,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Kidney_CTRL1 (GSE248904)
Kidney,24,TMS,Kidney_24m,5508,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Kidney_CTRL1 (GSE248904)
Kidney,30,TMS,Kidney_30m,5511,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Kidney_CTRL1 (GSE248904)
Liver,1,TMS,Liver_1m,2785,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Liver_CTRL1 (GSE248904)
Liver,3,PanSci,Liver_03_months,9981,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Liver_CTRL1 (GSE248904)
Liver,3,TMS,Liver_3m,729,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Liver_CTRL1 (GSE248904)
Liver,6,PanSci,Liver_06_months,9973,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Liver_CTRL1 (GSE248904)
Liver,12,PanSci,Liver_12_months,9969,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Liver_CTRL1 (GSE248904)
Liver,16,PanSci,Liver_16_months,9969,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Liver_CTRL1 (GSE248904)
Liver,18,TMS,Liver_18m,1176,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Liver_CTRL1 (GSE248904)
Liver,21,TMS,Liver_21m,367,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Liver_CTRL1 (GSE248904)
Liver,23,PanSci,Liver_23_months,9983,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Liver_CTRL1 (GSE248904)
Liver,24,TMS,Liver_24m,945,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Liver_CTRL1 (GSE248904)
Liver,30,TMS,Liver_30m,2272,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Liver_CTRL1 (GSE248904)
Lung,1,TMS,Lung_1m,2507,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Lung_CTRL1 (GSE248904)
Lung,3,PanSci,Lung_03_months,9996,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Lung_CTRL1 (GSE248904)
Lung,3,TMS,Lung_3m,3610,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Lung_CTRL1 (GSE248904)
Lung,6,PanSci,Lung_06_months,9991,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Lung_CTRL1 (GSE248904)
Lung,12,PanSci,Lung_12_months,9995,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Lung_CTRL1 (GSE248904)
Lung,16,PanSci,Lung_16_months,9996,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Lung_CTRL1 (GSE248904)
Lung,18,TMS,Lung_18m,4376,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Lung_CTRL1 (GSE248904)
Lung,21,TMS,Lung_21m,2950,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Lung_CTRL1 (GSE248904)
Lung,23,PanSci,Lung_23_months,9997,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Lung_CTRL1 (GSE248904)
Lung,24,TMS,Lung_24m,1870,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Lung_CTRL1 (GSE248904)
Lung,30,TMS,Lung_30m,9994,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Lung_CTRL1 (GSE248904)
Muscle,3,PanSci,Muscle_03_months,9995,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Muscle_CTRL1 (GSE248904)
Muscle,3,TMS,Muscle_3m,1102,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Muscle_CTRL1 (GSE248904)
Muscle,6,PanSci,Muscle_06_months,9999,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Muscle_CTRL1 (GSE248904)
Muscle,12,PanSci,Muscle_12_months,9995,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Muscle_CTRL1 (GSE248904)
Muscle,16,PanSci,Muscle_16_months,9997,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Muscle_CTRL1 (GSE248904)
Muscle,18,TMS,Muscle_18m,1521,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Muscle_CTRL1 (GSE248904)
Muscle,21,TMS,Muscle_21m,3528,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Muscle_CTRL1 (GSE248904)
Muscle,23,PanSci,Muscle_23_months,9995,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Muscle_CTRL1 (GSE248904)
Muscle,24,TMS,Muscle_24m,1231,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Muscle_CTRL1 (GSE248904)
Muscle,30,TMS,Muscle_30m,3284,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Muscle_CTRL1 (GSE248904)
Pancreas,3,TMS,Pancreas_3m,1588,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Pancreas_CTRL1 (GSE248904)
Pancreas,18,TMS,Pancreas_18m,2071,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Pancreas_CTRL1 (GSE248904)
Pancreas,21,TMS,Pancreas_21m,1437,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Pancreas_CTRL1 (GSE248904)
Pancreas,30,TMS,Pancreas_30m,2642,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Pancreas_CTRL1 (GSE248904)
Skin,3,TMS,Skin_3m,2346,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Skin_CTRL1 (GSE248904)
Skin,21,TMS,Skin_21m,4352,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Skin_CTRL1 (GSE248904)
Skin,24,TMS,Skin_24m,1122,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Skin_CTRL1 (GSE248904)
Spleen,1,TMS,Spleen_1m,2801,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Spleen_CTRL1 (GSE248904)
Spleen,3,TMS,Spleen_3m,6480,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Spleen_CTRL1 (GSE248904)
Spleen,6,MCA2,Spleen_6m,9412,GSE153562,leiden clusters with marker-based manual annotation,Spleen_CTRL1 (GSE248904)
Spleen,12,MCA2,Spleen_12m,9569,GSE153562,leiden clusters with marker-based manual annotation,Spleen_CTRL1 (GSE248904)
Spleen,18,TMS,Spleen_18m,5929,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Spleen_CTRL1 (GSE248904)
Spleen,21,TMS,Spleen_21m,6186,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Spleen_CTRL1 (GSE248904)
Spleen,24,TMS,Spleen_24m,3954,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Spleen_CTRL1 (GSE248904)
Spleen,30,TMS,Spleen_30m,8615,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Spleen_CTRL1 (GSE248904)
Stomach,3,PanSci,Stomach_03_months,9440,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Stomach_CTRL1 (GSE248904)
Stomach,6,PanSci,Stomach_06_months,9361,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Stomach_CTRL1 (GSE248904)
Stomach,12,MCA2,Stomach_12m,8218,GSE153562,leiden clusters with marker-based manual annotation,Stomach_CTRL1 (GSE248904)
Stomach,12,PanSci,Stomach_12_months,9457,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Stomach_CTRL1 (GSE248904)
Stomach,16,PanSci,Stomach_16_months,9353,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Stomach_CTRL1 (GSE248904)
Stomach,18,MCA2,Stomach_18m,9552,GSE153562,leiden clusters with marker-based manual annotation,Stomach_CTRL1 (GSE248904)
Stomach,23,PanSci,Stomach_23_months,9353,GSE247719,Curated cellType + Lineage + Sub_cell_type annotations from source,Stomach_CTRL1 (GSE248904)
Stomach,24,MCA2,Stomach_24m,9381,GSE153562,leiden clusters with marker-based manual annotation,Stomach_CTRL1 (GSE248904)
Thymus,3,TMS,Thymus_3m,1430,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Thymus_CTRL1 (GSE248904)
Thymus,12,MCA2,Thymus_12m,10000,GSE153562,leiden clusters with marker-based manual annotation,Thymus_CTRL1 (GSE248904)
Thymus,18,TMS,Thymus_18m,2040,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Thymus_CTRL1 (GSE248904)
Thymus,21,TMS,Thymus_21m,2792,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Thymus_CTRL1 (GSE248904)
Thymus,24,TMS,Thymus_24m,3013,figshare:8273102 (TMS),cell_ontology_class from source (Tabula Muris cell ontology),Thymus_CTRL1 (GSE248904)
